URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/cda/stds/core/ValueSet/BinaryDataEncoding,2.0.0-sd-202312-matchbox-patch,draft,,BinaryDataEncoding,Binary Data Encoding Value Set,"Identifies the representation of binary data in a text field",,"Internal"
http://hl7.org/cda/stds/core/ValueSet/CDACompressionAlgorithm,2.0.0-sd-202312-matchbox-patch,draft,,CDACompressionAlgorithm,CompressionAlgorithm,"Type of compression algorithm used - limited to 4 concepts from original CDA definition",,"THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAEntityNameUse,2.0.0-sd-202312-matchbox-patch,draft,,CDAEntityNameUse,CDAEntityNameUse,"A set of codes advising a system or user which name in a set of names to select for a given purpose - limited to values allowed in original CDA definition",,"THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDANullFlavor,2.0.0-sd-202312-matchbox-patch,draft,,CDANullFlavor,CDANullFlavor,"CDA NullFlavors - limited to values allowed in original CDA definition",,"THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDAPostalAddressUse,2.0.0-sd-202312-matchbox-patch,draft,,CDAPostalAddressUse,CDAPostalAddressUse,"A set of codes advising a system or user which address in a set of like addresses to select for a given purpose - limited to values allowed in original CDA definition",,"THO (V3)"
http://hl7.org/cda/stds/core/ValueSet/CDASignatureCode,2.0.0-sd-202312-matchbox-patch,draft,,CDASignatureCode,CDASignatureCode,"A set of codes specifying whether and how the participant has attested his participation through a signature - limited to values allowed in original CDA definition.  **Note:** CDA Release One represented either an intended (`X`) or actual (`S`) authenticator. CDA Release Two only represents an actual authenticator, so has deprecated the value of `X`.",,"THO (V3)"
